event_code,lot_number,plate_raw,hammer_price_gbp,predicted_price_gbp,valuation_low_gbp,valuation_central_gbp,valuation_high_gbp,predicted_value_tier,collectibility_score,collectibility_segment,premium_collectibility_group,recommended_sales_path,sales_path_reason,recommended_fixed_price_gbp,recommended_reserve_price_gbp,specialist_review_required,specialist_review_reason,commercial_opportunity_flag
B278,1,855 A,10110.0,10191.691367658765,8150.0,10190.0,12740.0,Trophy Value,40,Collectible,Premium Value Only,Specialist Review,high_market_value_not_fully_explained,,,1,high_market_value_not_fully_explained,specialist_assessment
B278,2,9811 A,4310.0,5210.553587269396,4170.0,5210.0,6510.0,Premium,13,Standard,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,3650.0,0,standard_automated_path,standard_monitoring
B278,3,3000 AA,5010.0,3562.249352909914,2850.0,3560.0,4450.0,Upper Core,18,Distinctive,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2490.0,0,standard_automated_path,standard_monitoring
B278,4,A122 AAA,4790.0,886.3374945820344,710.0,890.0,1110.0,Entry,18,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,980.0,,0,standard_automated_path,standard_monitoring
B278,5,A154 AAC,1510.0,907.5279517629116,730.0,910.0,1130.0,Entry,7,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1000.0,,0,standard_automated_path,standard_monitoring
B278,6,AAB 10S,1010.0,1913.3397565996183,1530.0,1910.0,2390.0,Core,27,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2100.0,,0,standard_automated_path,material_valuation_gap_review
B278,7,AAD 96L,2510.0,1090.297826144823,870.0,1090.0,1360.0,Core,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1200.0,,0,standard_automated_path,standard_monitoring
B278,8,AA54 EED,1010.0,1246.3978399243704,1000.0,1250.0,1560.0,Core,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1380.0,,0,standard_automated_path,standard_monitoring
B278,9,A400 AGE,350.0,604.0047128560575,480.0,600.0,760.0,Entry,15,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,660.0,,0,standard_automated_path,material_valuation_gap_review
B278,10,AAM 411D,1000.0,1143.8366047497916,920.0,1140.0,1430.0,Core,10,Standard,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1250.0,,0,standard_automated_path,standard_monitoring
B278,11,A95 AMH,710.0,577.1415896689676,460.0,580.0,720.0,Entry,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,640.0,,0,standard_automated_path,standard_monitoring
B278,12,478 AAN,1360.0,2564.768164720799,2050.0,2560.0,3210.0,Upper Core,7,Standard,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,1790.0,0,standard_automated_path,material_valuation_gap_review
B278,13,AAR 5H,3020.0,2217.1883849182595,1770.0,2220.0,2770.0,Core,37,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2440.0,,0,standard_automated_path,standard_monitoring
B278,14,AAW 4C,1260.0,2075.94704097318,1660.0,2080.0,2590.0,Core,37,Collectible,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,2290.0,,0,standard_automated_path,material_valuation_gap_review
B278,15,AAY 24H,2510.0,1269.440289067738,1020.0,1270.0,1590.0,Core,17,Distinctive,Standard Portfolio,Fixed Price,standard_asset_with_limited_auction_upside,1400.0,,0,standard_automated_path,standard_monitoring
B278,16,131 AB,10790.0,5293.011618123703,4230.0,5290.0,6620.0,Premium,18,Distinctive,Premium Value Only,Specialist Review,high_market_value_not_fully_explained,,,1,high_market_value_not_fully_explained,specialist_assessment
B278,17,2002 AB,4010.0,3104.7643678597283,2480.0,3100.0,3880.0,Upper Core,3,Standard,Standard Portfolio,Standard Auction,meaningful_upside_and_competitive_bidding_potential,,2170.0,0,standard_automated_path,standard_monitoring
