feature,importance
categorical__plate_format_group_digits_then_letters,0.13728635850467
numeric__plate_length,0.10207700962996458
numeric__block_count,0.08477423641235371
numeric__letter_count,0.0841233822390814
categorical__plate_format_group_letters_digits_letters,0.07175627093543734
numeric__last_numeric_value,0.053372189028652955
numeric__numeric_value,0.052111568193909795
numeric__first_numeric_value,0.051725614913313754
numeric__is_short_plate_len_4_or_less,0.04374235990141212
numeric__first_segment_length,0.03640161336321516
categorical__plate_pattern_LDDLLL,0.033304116381268054
numeric__last_segment_length,0.032443766032966434
numeric__unique_character_count,0.03206940267635298
categorical__plate_pattern_LDDDLLL,0.022250877337562446
numeric__numeric_length,0.014883743203806534
numeric__digit_count,0.01467546651686375
categorical__plate_pattern_LLLDDL,0.013927029928869485
categorical__plate_format_group_letters_then_digits,0.011396040343418543
numeric__low_number_score,0.008920970690207445
numeric__maximum_character_run,0.008733515898726516
numeric__repeated_character_count,0.0070184603377339335
categorical__plate_pattern_DDDLLL,0.006117647485128093
categorical__plate_pattern_DDLLL,0.005943815785537031
categorical__plate_pattern_DLLL,0.00574967191487838
categorical__plate_pattern_DDDLL,0.005427251310025192
numeric__is_single_digit_number,0.0053041378139493745
categorical__plate_pattern_LLLDDD,0.005087105025258229
categorical__plate_pattern_LLLDL,0.0049842734886381135
categorical__plate_pattern_LLLDDDL,0.00393252202814779
numeric__is_milestone_number,0.00391289179175094
numeric__is_two_digit_number,0.0034074829398405893
numeric__is_number_below_100,0.0034071309854357542
categorical__plate_pattern_DDLL,0.00316021520990514
numeric__is_round_number,0.0030986197379457557
numeric__has_repeated_letter,0.0029875777701547763
numeric__longest_block_length,0.0029414637304737167
numeric__has_repeated_digit,0.002493779819490057
categorical__plate_pattern_LLLDD,0.0023767994501672756
categorical__plate_pattern_LLDDLLL,0.0021702419964277075
numeric__all_digits_same,0.0021266649284887966
categorical__plate_pattern_DDDDLL,0.001687635927889178
categorical__plate_pattern_DDDL,0.0016537059683742975
numeric__all_letters_same,0.0012983803364656358
categorical__plate_pattern_LLLD,0.0010806197282367187
categorical__plate_pattern_LLLDDDD,0.0009547293351258943
numeric__has_sequential_pattern,0.0006064447589382998
numeric__is_short_plate_len_3_or_less,0.0004863445147451792
numeric__is_number_below_1000,0.0003566674229881139
categorical__plate_pattern_DDDDL,0.00021663722890372577
categorical__plate_pattern_LDLLL,3.554909690340457e-05
categorical__plate_pattern_LLDD,0.0
categorical__plate_pattern_DLL,0.0
numeric__is_palindrome,0.0
numeric__segment_count,0.0
categorical__plate_pattern_DDL,0.0
categorical__plate_pattern_LLDDD,0.0
