event_code,lot_number,plate_raw,hammer_price_gbp,collectibility_score,collectibility_segment,is_premium_top_10pct,is_premium_top_5pct,is_premium_top_1pct,plate_length,numeric_value,plate_pattern,plate_format_group
B274,646,8 FU,90000.0,70,Trophy Candidate,1,1,1,3,8,DLL,digits_then_letters
B274,1951,9 XN,45010.0,70,Trophy Candidate,1,1,1,3,9,DLL,digits_then_letters
B273,635,7 FU,42510.0,70,Trophy Candidate,1,1,1,3,7,DLL,digits_then_letters
B271,643,3 FU,70000.0,65,Trophy Candidate,1,1,1,3,3,DLL,digits_then_letters
B272,1342,1 ORO,26260.0,64,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B278,1209,8 MMR,20530.0,64,Trophy Candidate,1,1,1,4,8,DLLL,digits_then_letters
B272,1773,1 TLT,18140.0,64,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B273,962,7 KKS,15010.0,64,Trophy Candidate,1,1,1,4,7,DLLL,digits_then_letters
B275,1830,1 TXX,14510.0,64,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B272,1908,7 WOW,14080.0,64,Trophy Candidate,1,1,1,4,7,DLLL,digits_then_letters
B276,1353,9 OAT,62030.0,62,Trophy Candidate,1,1,1,4,9,DLLL,digits_then_letters
B271,1567,RVS 1,26010.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B278,568,EMZ 1,25510.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B273,902,JSK 7,25210.0,62,Trophy Candidate,1,1,1,4,7,LLLD,letters_then_digits
B273,1236,MVS 1,25110.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B278,1975,YDS 1,24010.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B270,816,7 HSK,23510.0,62,Trophy Candidate,1,1,1,4,7,DLLL,digits_then_letters
B272,1345,OSK 1,22500.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B275,1870,1 VLW,21010.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B277,904,JSK 8,20120.0,62,Trophy Candidate,1,1,1,4,8,LLLD,letters_then_digits
B273,457,DMZ 1,19010.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B273,1870,1 VSK,19000.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B273,1991,1 YOB,18200.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B278,1903,1 WHL,18020.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B274,1942,XIG 1,18010.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B277,1863,1 VRK,17110.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B278,760,9 HEN,17110.0,62,Trophy Candidate,1,1,1,4,9,DLLL,digits_then_letters
B276,629,7 FUN,17010.0,62,Trophy Candidate,1,1,1,4,7,DLLL,digits_then_letters
B278,1553,1 RVM,17010.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B277,178,AVZ 1,16610.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B278,1834,1 UDN,16610.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B270,658,FSZ 1,16540.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B270,1429,8 PKB,16310.0,62,Trophy Candidate,1,1,1,4,8,DLLL,digits_then_letters
B278,1767,1 TDX,16020.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B271,1829,1 UBO,16010.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B273,1075,1 LTR,16010.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B272,1704,1 SUC,15520.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B272,495,8 ECL,15010.0,62,Trophy Candidate,1,1,1,4,8,DLLL,digits_then_letters
B272,1071,1 LYK,15010.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B272,1420,9 PSL,15010.0,62,Trophy Candidate,1,1,1,4,9,DLLL,digits_then_letters
B274,1347,1 OLB,14610.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B271,1768,1 THL,14510.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B277,1992,1 YSC,14510.0,62,Trophy Candidate,1,1,1,4,1,DLLL,digits_then_letters
B272,1793,TRZ 1,14020.0,62,Trophy Candidate,1,1,1,4,1,LLLD,letters_then_digits
B278,1350,5 OOG,15000.0,59,High Collectible,1,1,1,4,5,DLLL,digits_then_letters
B271,1908,5 WOW,14310.0,59,High Collectible,1,1,1,4,5,DLLL,digits_then_letters
B270,1371,86 OO,25760.0,57,High Collectible,1,1,1,4,86,DDLL,digits_then_letters
B277,741,HMZ 4,25160.0,57,High Collectible,1,1,1,4,4,LLLD,letters_then_digits
B271,1566,6 RUP,24510.0,57,High Collectible,1,1,1,4,6,DLLL,digits_then_letters
B276,1690,91 SS,23110.0,57,High Collectible,1,1,1,4,91,DDLL,digits_then_letters
